patient_id,genes,similarities
Group_1,ENSG00000186017,0.36768901348114014
Group_1,ENSG00000105755,0.5498596429824829
Group_1,ENSG00000197599,0.1825154423713684
Group_1,ENSG00000070081,0.41906726360321045
Group_1,ENSG00000134077,0.5114835500717163
Group_1,ENSG00000144224,0.4582173526287079
Group_1,ENSG00000144468,0.4154473543167114
Group_1,ENSG00000169733,0.30744314193725586
Group_1,ENSG00000174749,0.39405202865600586
Group_1,ENSG00000073605,0.3222528100013733
Group_1,ENSG00000114654,0.06760090589523315
Group_1,ENSG00000125744,0.5127061605453491
Group_1,ENSG00000184261,0.3192554712295532
Group_1,ENSG00000105639,0.4943684935569763
Group_1,ENSG00000232653,0.259808212518692
Group_1,ENSG00000150990,0.4393326938152313
Group_1,ENSG00000004399,0.584101676940918
Group_1,ENSG00000127311,0.27421021461486816
Group_1,ENSG00000154358,0.49990326166152954
Group_1,ENSG00000077235,0.4049742817878723
Group_1,ENSG00000156564,0.28658872842788696
Group_1,ENSG00000196387,0.3407183587551117
Group_1,ENSG00000149187,0.41363272070884705
Group_1,ENSG00000077454,0.3771951198577881
Group_1,ENSG00000203943,0.327567994594574
Group_1,ENSG00000144895,0.37047871947288513
Group_1,ENSG00000117616,0.4198257029056549
Group_1,ENSG00000018699,0.36242052912712097
Group_1,ENSG00000091536,0.42683666944503784
Group_1,ENSG00000163406,0.3832440972328186
Group_1,ENSG00000183150,0.2230440229177475
Group_1,ENSG00000182158,0.3967207372188568
Group_1,ENSG00000111266,0.3499963879585266
Group_1,ENSG00000270800,0.2383144199848175
Group_1,ENSG00000115257,0.4453578591346741
Group_1,ENSG00000132305,0.5442264676094055
Group_1,ENSG00000157873,0.43666142225265503
Group_1,ENSG00000174844,0.3108416795730591
Group_1,ENSG00000118369,0.2648739516735077
Group_1,ENSG00000123473,0.45245641469955444
Group_1,ENSG00000139625,0.3978509306907654
Group_1,ENSG00000008710,0.5566545724868774
Group_1,ENSG00000197056,0.38188815116882324
Group_1,ENSG00000196639,0.40286532044410706
Group_1,ENSG00000196267,0.3419710695743561
Group_1,ENSG00000167554,0.3750488758087158
Group_1,ENSG00000171298,0.6136012673377991
Group_1,ENSG00000197841,0.37538766860961914
Group_1,ENSG00000157782,0.41077858209609985
Group_1,ENSG00000173653,0.312114417552948
Group_1,ENSG00000183921,0.14588749408721924
Group_1,ENSG00000183955,0.3707667887210846
Group_1,ENSG00000167553,0.4657909870147705
Group_1,ENSG00000171121,0.3598754405975342
Group_1,ENSG00000058453,0.44419512152671814
Group_1,ENSG00000140859,0.48364096879959106
Group_1,ENSG00000149177,0.5477633476257324
Group_1,ENSG00000134256,0.24989047646522522
Group_1,ENSG00000125753,0.4531491696834564
Group_1,ENSG00000134574,0.4875370264053345
Group_1,ENSG00000270011,0.4026048481464386
Group_1,ENSG00000104812,0.5197269320487976
Group_1,ENSG00000138028,0.3847389817237854
Group_1,ENSG00000062370,0.3686155676841736
Group_1,ENSG00000186567,0.3817923665046692
Group_1,ENSG00000177917,0.4621875286102295
Group_1,ENSG00000135407,0.462345689535141
Group_1,ENSG00000144152,0.2868320941925049
Group_1,ENSG00000050405,0.5600019097328186
Group_1,ENSG00000142621,0.08853916078805923
Group_1,ENSG00000006283,0.6093889474868774
Group_1,ENSG00000204160,0.3040224313735962
Group_1,ENSG00000168906,0.6090317964553833
Group_1,ENSG00000135930,0.4285052716732025
Group_1,ENSG00000196189,0.4586581587791443
Group_1,ENSG00000088280,0.44735270738601685
Group_1,ENSG00000165935,0.4418873190879822
Group_1,ENSG00000177084,0.44960373640060425
Group_1,ENSG00000144401,0.2384762018918991
Group_1,ENSG00000010379,0.36858847737312317
Group_1,ENSG00000132196,0.31206560134887695
Group_1,ENSG00000151689,0.37135380506515503
Group_1,ENSG00000013573,0.5150836110115051
Group_1,ENSG00000159314,0.3531348705291748
Group_1,ENSG00000152154,0.2346414476633072
Group_1,ENSG00000153767,0.375790536403656
Group_1,ENSG00000205212,0.26105889678001404
Group_1,ENSG00000143110,0.2481907606124878
Group_1,ENSG00000177000,0.6089640855789185
Group_1,ENSG00000144029,0.4647672772407532
Group_1,ENSG00000167291,0.35844358801841736
Group_1,ENSG00000066136,0.4478263258934021
Group_1,ENSG00000185278,0.3659168481826782
Group_1,ENSG00000177181,0.36794620752334595
Group_1,ENSG00000153563,0.3974990248680115
Group_1,ENSG00000162461,0.22612762451171875
Group_1,ENSG00000142794,0.352658212184906
Group_1,ENSG00000097096,0.21847781538963318
Group_1,ENSG00000162733,0.5286253690719604
Group_1,ENSG00000021826,0.5256319046020508
Group_1,ENSG00000153214,0.22235968708992004
Group_1,ENSG00000196482,0.4486875832080841
Group_1,ENSG00000169621,0.3861743211746216
Group_1,ENSG00000268043,0.21809594333171844
Group_1,ENSG00000183513,0.4728756248950958
Group_1,ENSG00000186007,0.35786885023117065
Group_1,ENSG00000197568,0.4396720826625824
Group_2,ENSG00000185666,0.4219363331794739
Group_2,ENSG00000125827,0.271939754486084
Group_2,ENSG00000125851,0.3551502823829651
Group_2,ENSG00000125834,0.4036797285079956
Group_2,ENSG00000131069,0.21194243431091309
Group_2,ENSG00000186976,0.4182153344154358
Group_2,ENSG00000142207,0.4541168212890625
Group_2,ENSG00000126785,0.43056827783584595
Group_2,ENSG00000140015,0.3406352698802948
Group_2,ENSG00000156687,0.3217352032661438
Group_2,ENSG00000113569,0.5331976413726807
Group_2,ENSG00000149654,0.33158454298973083
Group_2,ENSG00000146950,0.350078284740448
Group_2,ENSG00000198795,0.45739150047302246
Group_2,ENSG00000185736,0.4454613924026489
Group_2,ENSG00000151657,0.2670793831348419
Group_2,ENSG00000100422,0.4120633006095886
Group_2,ENSG00000134759,0.4717276990413666
Group_2,ENSG00000157617,0.3189932107925415
Group_2,ENSG00000145526,0.41747695207595825
Group_2,ENSG00000206579,0.2406289428472519
Group_2,ENSG00000254087,0.5273659229278564
Group_2,ENSG00000133818,0.657196044921875
Group_2,ENSG00000100095,0.3489980697631836
Group_2,ENSG00000262655,0.33175697922706604
Group_2,ENSG00000172817,0.6054112911224365
Group_2,ENSG00000121005,0.30296385288238525
Group_2,ENSG00000038427,0.4970703721046448
Group_2,ENSG00000135362,0.40780192613601685
Group_2,ENSG00000122912,0.30140799283981323
Group_2,ENSG00000100600,0.3520154356956482
Group_2,ENSG00000150477,0.43135201930999756
Group_2,ENSG00000154065,0.3661203980445862
Group_2,ENSG00000113273,0.5537017583847046
Group_2,ENSG00000084710,0.26733365654945374
Group_2,ENSG00000169744,0.3620266914367676
Group_2,ENSG00000163032,0.4770303964614868
Group_2,ENSG00000109680,0.21352288126945496
Group_2,ENSG00000118961,0.255917489528656
Group_2,ENSG00000102302,0.4733080267906189
Group_2,ENSG00000165973,0.5083414316177368
Group_2,ENSG00000101413,0.3768690824508667
Group_2,ENSG00000049323,0.5032930374145508
Group_2,ENSG00000185774,0.48067712783813477
Group_2,ENSG00000047648,0.2904178202152252
Group_2,ENSG00000186479,0.30493777990341187
Group_2,ENSG00000171621,0.4860289692878723
Group_2,ENSG00000184384,0.527303159236908
Group_2,ENSG00000184719,0.3693406581878662
Group_2,ENSG00000130703,0.399051308631897
Group_2,ENSG00000204271,0.35180336236953735
Group_2,ENSG00000119787,0.436722993850708
Group_2,ENSG00000156471,0.5436873435974121
Group_2,ENSG00000102547,0.35233238339424133
Group_2,ENSG00000160961,0.30695676803588867
Group_2,ENSG00000120992,0.29021310806274414
Group_2,ENSG00000074657,0.3092614710330963
Group_2,ENSG00000155966,0.40105780959129333
Group_2,ENSG00000141446,0.3641813397407532
